Year,Rank,Company,Revenue (in millions),Profit (in millions)
1955,1,General Motors,9823.5,806
1955,2,Exxon Mobil,5661.4,584.8
1955,3,U.S. Steel,3250.4,195.4
1955,4,General Electric,2959.1,212.6
1955,5,Esmark,2510.8,19.1
1955,6,Chrysler,2071.6,18.5
1955,7,Armour,2056.1,1.6
1955,8,Gulf Oil,1705.3,182.8
1955,9,Mobil,1703.6,183.8
1955,10,DuPont,1687.7,344.4
1955,11,Amoco,1667.4,132.8
1955,12,Bethlehem Steel,1660.3,117.2
1955,13,CBS,1631,84.6
1955,14,Texaco,1574.4,226.1
1955,15,AT&T Technologies,1526.2,55.8
1955,16,Shell Oil,1312.1,121.1
1955,17,Kraft,1210.3,37.4
1955,18,ChevronTexaco,1113.3,211.9
1955,19,Goodyear Tire & Rubber,1090.1,48.1
1955,20,Boeing,1033.2,37
1955,21,Sinclair Oil,1021.5,91.6
1955,22,Navistar International,994.1,36.3
1955,23,RCA,941,40.5
1955,24,Union Carbide,923.7,89.8
1955,25,Firestone Tire & Rubber,916,40.5
1955,26,Douglas Aircraft,915.2,36.2
1955,27,Procter & Gamble,911,52.3
1955,28,Republic Steel,846.3,52.9
1955,29,Citgo Petroleum,813.2,43.7
1955,30,ConocoPhillips,794.6,76.2
1955,31,General Foods,783,27.9
1955,32,Uniroyal,782.6,28
1955,33,Borden Chemical,776.8,22.7
1955,34,Lockheed Martin,732.9,22.4
1955,35,Alcoa,708.3,46.5
1955,36,International Paper,681.2,73.5
1955,37,Wilson,680.5,3.1
1955,38,Sunoco,659.5,40.3
1955,39,United Technologies,654.2,26
1955,40,American Can,652.4,30.4
1955,41,General Dynamics,648.6,20.8
1955,42,Rockwell Automation,645.8,22.2
1955,43,Eastman Kodak,633.5,69.8
1955,44,Goodrich,630.7,38.8
1955,45,Continental Group,616.2,20.7
1955,46,Bendix,607.7,25.5
1955,47,Atlantic Richfield,596.2,36.8
1955,48,Fortune Brands,533.1,41.3
1955,49,Ryerson Tull,532,41.1
1955,50,ARMCO,530.8,43.1
1955,51,Honeywell Intl.,519.7,10.8
1955,52,AMAX,509.5,43.1
1955,53,Conoco,500.1,41.7
1955,54,Allis-Chalmers,492.9,26.1
1955,55,Jones & Laughlin Steel,492.9,25
1955,56,General Mills,487.6,11.2
1955,57,National Intergroup,484.1,30.3
1955,58,Curtiss-Wright,475.1,19.4
1955,59,Olin,470.1,34.3
1955,60,Asarco,466.8,21.5
1955,61,Intl. Business Machines,461.4,46.5
1955,62,Anaconda,461.1,26.7
1955,63,Tidewater Oil,459,34.5
1955,64,Cudahy,454.8,-7.2
1955,65,Briggs Manufacturing,440.9,0.8
1955,66,Sperry,440.9,28.5
1955,67,Nabisco Group Holdings,438.3,44.8
1955,68,PPG Industries,431,38.6
1955,69,Dow Chemical,428.3,33.4
1955,70,Youngstown Sheet & Tube,428.2,20.2
1955,71,Kennecott,423.6,77.9
1955,72,NL Industries,419.3,36.6
1955,73,Standard Brands,415.9,10.6
1955,74,Sealed Air,413.4,14.8
1955,75,Caterpillar,401,25.1
1955,76,American Motors,400.3,-11.1
1955,77,Ralston Purina,399.6,15.5
1955,78,American Cyanamid,397.6,27.1
1955,79,Pullman,391,13.3
