id_reseller,zone,cluster
499929090,1019,A
499929094,1019,A
499929097,1019,A
499929098,1019,A
499929163,1014,A
499929165,1019,A
499929102,1013,A
499929103,1013,A
499929108,1013,A
499921233,1019,A
499929175,1019,A
499929117,1019,B
499921235,1019,A
499929129,1013,A
499929132,1019,A
499929136,1019,A
499929146,1014,A
499929147,1019,A
499929154,1019,A
499929159,1019,A
499929169,1019,A
499929174,1019,A
499929177,1012,A
499929179,1012,A
499929180,1019,A
499929183,1019,A
499929185,1012,B
499921241,1013,A
499929253,1020,B
499929198,1019,A
499929202,1020,A
499929205,1019,A
499929207,1019,A
499929215,1015,A
499929239,1019,A
499929250,1019,B
499929251,1019,A
499929254,1019,B
499929259,1019,A
499929277,1019,B
499929282,1019,B
499929305,1019,A
499929306,1019,B
499929310,1019,B
499929318,1019,B
499929339,1019,B
499929342,1019,B
499929368,1019,C
499929392,1015,C
499929397,1015,B
499929408,1012,B
499929436,1012,A
499929438,1012,A
499929568,1012,B
499929577,1012,B
499929591,1012,B
499929603,1012,B
499929613,1012,A
499929615,1012,B
499929623,1012,B
499929659,1012,B
499929663,1012,C
499929671,1012,A
499929678,1012,C
499929739,1012,A
499929742,1012,A
499929748,1012,A
499929753,1012,B
499929793,1012,B
499929797,1012,A
499929826,1012,B
499929903,1012,B
499929977,1012,B
499929990,1012,A
499930090,1012,B
499930132,1012,B
499930139,1012,A
499930164,1012,C
499930168,1012,B
499930208,1012,B
499930223,1012,A
499930239,1012,A
499930246,1012,A
499930256,1012,A
499930297,1012,A
499930322,1012,B
499930330,1012,C
499930332,1012,C
499930345,1012,A
499930357,1012,B
499930438,1012,B
499930492,1012,B
499930494,1012,A
499930496,1012,B
499930512,1012,C
499930521,1012,B
499930554,1012,A
499930562,1012,A
499930574,1012,A
499930577,1012,B
499930615,1012,A
499930703,1012,A
499930739,1012,B
499930747,1012,B
499930777,1012,B
499930880,1012,A
499930892,1012,B
499930898,1012,B
499930934,1012,A
499930948,1012,B
499931051,1012,A
499931061,1012,B
499931069,1012,C
499931081,1012,B
499931085,1012,B
499931130,1012,B
499931145,1012,B
499931213,1012,A
499931160,1012,B
499931196,1012,B
499931235,1012,A
499931242,1012,B
499931272,1012,B
499931309,1012,B
499931362,1012,A
499931366,1012,B
499931371,1012,C
499931398,1012,B
499931408,1012,C
499931430,1012,B
499931441,1012,B
499931454,1012,B
499931499,1012,B
499931501,1012,A
499931502,1012,C
499931523,1012,B
499993690,1012,B
499994529,1012,A
499997093,1012,A
499997836,1012,A
499998178,1012,A
499998825,1012,B
500000226,1012,B
500000567,1012,B
500001891,1012,C
