             BARCODE  INDEX     DATE     S.TIME    E.TIME   CYCLE             JOB        RESULT       USER          LOTINFO        MACHINE              SIDE        ,,,,,,,,,,,,,,,,,,,,
                M4634596 24878 11/10/2020   16:56:38  16:56:46      8   A5E41637164-04-TOP     GOOD           SV              KOHYOUNG T,,,,,,,,,,,,,,,,,,,,
Component ID,Volume(%),Height(um),Area(%),OffsetX(%),OffsetY(%),Volume(um3),Area(um2),Result,PinNumber,Pad Verification,Shape,Library_Name,Vol_Min(%),Vol_Max(%),Height_Low(um),Height_High(um),Area_Min(%),Area_Max(%),OffsetX_Error(mm),OffsetY_Error(mm)
1:00,118.496,137.565,103.366,0.43,-5.175,54887270,398990,GOOD,,,56.4um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,108.261,128.979,100.724,0.278,-5.761,50146240,388794,GOOD,,,54.3um,PART0,45,200,60,230,60,170,0.18,0.18
1:C600_04,98.324,130.947,90.104,-0.002,1.242,56598700,432227,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:00,105.76,125.953,100.761,0.196,1.133,48987760,388938,GOOD,,,49.0um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,106.914,127.648,100.508,0.253,0.086,49522410,387960,GOOD,,,67.2um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,113.645,135.285,100.805,0.295,-1.751,52640080,389106,GOOD,,,49.8um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,105.838,131.226,96.783,0.643,-2.71,49023860,373583,GOOD,,,57.8um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,106.883,132.575,96.745,0.351,4.516,49508120,373434,GOOD,,,56.3um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,106.412,130.838,97.597,0.215,3.492,49289760,376725,GOOD,,,58.5um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,109.154,135.748,96.491,0.26,-4.999,50559810,372454,GOOD,,,50.7um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,106.307,133.054,95.878,0.613,-5.937,49241400,370087,GOOD,,,67.1um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,109.95,129.898,101.572,0.606,1.237,50928780,392067,GOOD,,,46.3um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,108.91,134.724,97.007,0.374,0.237,50447000,374447,GOOD,,,51.5um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,86.709,118.696,87.662,0.071,1.346,49912970,420510,GOOD,,,0.0um,PART1,45,200,60,230,60,170,0.18,0.18
1:00,106.462,132.309,96.558,1.017,-1.909,49313050,372712,GOOD,,,55.5um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,108.474,136.409,95.425,0.485,-2.824,50244810,368340,GOOD,,,52.8um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,110.643,134.92,98.408,0.665,4.293,51249840,379854,GOOD,,,43.1um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,105.823,133.322,95.249,1.029,3.314,49017200,367659,GOOD,,,52.6um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,94.01,121.477,92.867,0.378,0.361,220753500,1817239,GOOD,,,0.0um,PART3,45,200,60,230,60,170,0.18,0.18
1:00,96.127,116.742,98.81,2.36,-0.441,131961400,1130364,GOOD,,,0.0um,PART4,45,200,60,230,60,170,0.18,0.18
1:00,90.455,110.817,97.951,1.463,0.17,124174900,1120542,GOOD,,,0.0um,PART4,45,200,60,230,60,170,0.18,0.18
1:00,97.259,116.949,99.797,2.162,-0.03,133515100,1141657,GOOD,,,0.0um,PART4,45,200,60,230,60,170,0.18,0.18
1:00,91.544,109.419,100.397,1.883,-0.63,125669800,1148525,GOOD,,,0.0um,PART4,45,200,60,230,60,170,0.18,0.18
1:00,108.446,135.728,95.879,0.587,-5.148,50231840,370091,GOOD,,,58.5um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,114.423,137.508,99.855,0.752,-5.253,53000630,385438,GOOD,,,66.3um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,110.052,132.44,99.715,0.822,1.019,50975720,384897,GOOD,,,49.0um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,103.539,135.652,91.593,0.696,0.063,47959310,353547,GOOD,,,54.8um,PART0,45,200,60,230,60,170,0.18,0.18
1:C80_04,85.053,116.887,87.319,0.765,-1.343,48959480,418863,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:00,105.582,134.921,93.906,0.75,-1.723,48905440,362476,GOOD,,,64.2um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,113.23,141.567,95.98,0.821,-2.598,52448080,370481,GOOD,,,71.6um,PART0,45,200,60,230,60,170,0.18,0.18
1:X160_04,63.028,156.299,72.586,0.937,0.116,362461900,2319037,GOOD,15,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X160_04,61.042,148.125,74.178,0.931,-0.129,351043200,2369920,GOOD,13,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X160_04,57.886,145.125,71.796,1.043,0.001,332891200,2293819,GOOD,9,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X160_04,59.4,147.704,72.388,0.987,0.134,341596400,2312711,GOOD,5,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X160_04,63.853,147.333,78.01,0.761,-0.293,367205000,2492354,GOOD,17,,0.0um,,45,210,60,270,50,170,0.18,0.25
