             BARCODE  INDEX     DATE     S.TIME    E.TIME   CYCLE             JOB        RESULT       USER          LOTINFO        MACHINE        
                MN634850 24857 11/10/2020   16:43:32  16:43:40      8   A5E41637164-04-TOP     FAIL           SV              KOHYOUNG
Component ID,Volume(%),Height(um),Area(%),OffsetX(%),OffsetY(%),Volume(um3),Area(um2),Result,PinNumber,Pad Verification,Shape,Library_Name,Vol_Min(%),Vol_Max(%),Height_Low(um),Height_High(um),Area_Min(%),Area_Max(%),OffsetX_Error(mm),OffsetY_Error(mm),
1:,120.896,141.464,102.553,0.562,-10.391,55998940,395853,GOOD,,,65.8um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,105.234,124.543,101.395,-0.381,-6.952,48744260,391385,GOOD,,,79.4um,PART0,45,200,60,230,60,170,0.18,0.18,
1:C600_04,88.061,122.972,85.933,-0.710,1.238,50691180,412217,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:,100.824,120.648,100.283,-0.164,0.809,46701680,387090,GOOD,,,66.3um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,98.816,118.311,100.227,-0.304,-1.751,45771610,386876,GOOD,,,51.4um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,112.371,136.688,98.652,0.242,-7.460,52049960,380795,GOOD,,,63.0um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,105.309,125.790,100.461,-0.003,-7.065,48778770,387779,GOOD,,,62.0um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,104.535,131.841,95.146,0.005,-5.099,48420240,367261,GOOD,,,60.3um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,104.482,126.060,99.460,-0.131,-3.781,48396050,383914,GOOD,,,59.1um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,109.873,132.808,99.276,0.319,-9.522,50892800,383206,GOOD,,,57.2um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,103.555,121.889,101.950,0.376,-6.636,47966610,393527,GOOD,,,55.7um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,103.844,124.512,100.081,0.174,-3.336,48100470,386312,GOOD,,,53.6um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,105.897,132.183,96.137,0.041,-5.654,49051370,371086,GOOD,,,61.4um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,82.886,120.247,82.716,-0.377,1.342,47712210,396785,GOOD,,,0.0um,PART1,45,200,60,230,60,170,0.18,0.18,
1:,112.823,139.201,97.260,0.099,-8.802,52259420,375424,GOOD,,,60.6um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,104.880,124.262,101.283,0.161,-4.609,48580400,390953,GOOD,,,53.4um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,107.597,129.924,99.378,0.344,-7.001,49838710,383599,GOOD,,,50.0um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,102.430,119.491,102.867,0.215,0.686,47445640,397065,GOOD,,,57.4um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,84.810,113.196,89.908,0.013,0.147,199149800,1759336,GOOD,,,0.0um,PART3,45,200,60,230,60,170,0.18,0.18,
1:,93.430,115.685,96.914,1.310,-0.654,128258200,1108683,GOOD,,,0.0um,PART4,45,200,60,230,60,170,0.18,0.18,
1:,94.139,113.004,99.967,1.655,-0.077,129231700,1143606,GOOD,,,0.0um,PART4,45,200,60,230,60,170,0.18,0.18,
1:,87.789,109.682,96.047,0.380,-0.298,120514300,1098757,GOOD,,,0.0um,PART4,45,200,60,230,60,170,0.18,0.18,
1:,81.863,102.722,95.632,1.057,-0.933,112379300,1094010,GOOD,,,0.0um,PART4,45,200,60,230,60,170,0.18,0.18,
1:,110.941,134.243,99.170,0.276,-7.199,51387630,382797,GOOD,,,48.6um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,105.345,122.890,102.868,0.342,-7.434,48795680,397068,GOOD,,,56.6um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,112.544,134.596,100.339,0.515,-8.792,52130060,387307,GOOD,,,52.3um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,105.904,126.243,100.667,0.388,-2.565,49054770,388574,GOOD,,,66.8um,PART0,45,200,60,230,60,170,0.18,0.18,
1:C80_04,81.875,119.266,82.379,-0.153,-1.350,47130020,395167,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:,108.946,132.504,98.665,0.452,-6.739,50463760,380847,GOOD,,,71.3um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,109.518,126.005,104.299,0.523,-5.767,50728770,402593,GOOD,,,52.4um,PART0,45,200,60,230,60,170,0.18,0.18,
1:X160_04,62.836,154.177,73.361,0.516,0.256,361360200,2343797,GOOD,15,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X160_04,59.358,146.733,72.815,0.510,-0.006,341355200,2326370,GOOD,13,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X160_04,56.648,143.084,71.264,0.622,0.091,325774600,2276813,GOOD,9,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X160_04,56.746,140.834,72.527,0.567,0.190,326336100,2317176,GOOD,5,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X160_04,63.573,146.228,78.256,0.301,-0.436,365599000,2500197,GOOD,17,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X160_04,58.385,147.945,71.036,0.511,0.351,335764300,2269528,GOOD,11,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X160_04,56.990,141.085,72.709,0.439,-0.169,327737500,2322983,GOOD,7,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X160_04,57.976,142.787,73.086,-0.408,-0.068,333411600,2335027,GOOD,3,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X160_04,55.952,139.583,72.154,-0.359,-0.327,321770900,2305235,GOOD,1,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X171_04,57.600,144.593,71.705,-1.440,-0.208,331248400,2290907,GOOD,17,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X171_04,57.503,144.884,71.440,-1.000,-0.348,330690300,2282449,GOOD,11,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X171_04,54.918,138.795,71.222,0.655,0.316,315824900,2275484,GOOD,7,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X171_04,59.455,135.587,78.929,-0.455,0.408,341912500,2521716,GOOD,3,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X171_04,59.353,137.334,77.793,-0.442,0.146,341330100,2485395,GOOD,1,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X171_04,56.432,138.662,73.255,-0.815,0.299,324529600,2340438,GOOD,21,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X171_04,56.766,141.712,72.104,-1.693,0.045,326452900,2303639,GOOD,19,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X171_04,49.088,127.235,69.445,-1.478,0.158,282295800,2218699,W.Insuffi.,15,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X171_04,57.473,145.315,71.191,-1.195,-0.095,330514500,2274474,GOOD,13,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X171_04,56.682,137.999,73.934,0.561,0.580,325969600,2362125,GOOD,9,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:X171_04,55.622,138.393,72.345,0.451,0.052,319874300,2311348,GOOD,5,,0.0um,,45,210,60,270,50,170,0.18,0.25,
1:,114.083,137.987,99.212,0.686,-7.675,52842860,382957,GOOD,,,71.3um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,102.466,125.612,97.888,0.563,-2.513,47461970,377847,GOOD,,,86.9um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,102.564,132.749,92.714,3.644,-3.478,30258890,227941,GOOD,,,42.9um,PART6,45,200,60,230,60,170,0.18,0.18,
1:,89.047,109.265,97.796,1.400,-4.916,26271080,240435,GOOD,,,56.5um,PART6,45,200,60,230,60,170,0.18,0.18,
1:,99.809,110.308,108.579,-0.101,-6.228,46231550,419113,GOOD,,,75.7um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,103.134,121.385,101.957,0.039,-6.865,47771480,393554,GOOD,,,83.4um,PART0,45,200,60,230,60,170,0.18,0.18,
1:V901_04,86.476,106.974,97.006,-0.140,-0.067,431263900,4031474,GOOD,K,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:V901_04,80.097,101.453,94.740,-0.020,0.142,399449700,3937309,GOOD,A,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:H15_04,100.149,127.405,94.329,2.509,-1.577,61402790,481951,GOOD,A,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:H16_04,98.157,127.654,92.272,4.047,0.996,60181510,471443,GOOD,A,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:,109.503,134.286,97.853,0.629,-8.495,50721500,377712,GOOD,,,55.9um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,110.179,130.600,101.237,0.705,-7.305,51034880,390772,GOOD,,,81.2um,PART0,45,200,60,230,60,170,0.18,0.18,
1:D81_04,80.066,98.995,97.055,2.939,0.961,37086540,374632,GOOD,16,,57.6um,,45,200,60,230,60,170,0.18,0.18,
1:D81_04,80.831,101.020,96.018,6.259,0.757,37440970,370629,GOOD,15,,56.0um,,45,200,60,230,60,170,0.18,0.18,
1:D81_04,77.316,99.761,93.001,4.096,0.555,35812500,358982,GOOD,14,,66.8um,,45,200,60,230,60,170,0.18,0.18,
1:D81_04,75.539,95.002,95.416,6.235,0.352,34989570,368304,GOOD,13,,79.2um,,45,200,60,230,60,170,0.18,0.18,
1:D81_04,77.991,96.507,96.976,2.561,0.149,36125360,374327,GOOD,12,,76.5um,,45,200,60,230,60,170,0.18,0.18,
1:D81_04,79.598,96.794,98.681,5.893,-0.054,36869730,380909,GOOD,11,,63.5um,,45,200,60,230,60,170,0.18,0.18,
1:D81_04,77.755,98.189,95.027,3.148,-0.256,36016180,366803,GOOD,10,,68.0um,,45,200,60,230,60,170,0.18,0.18,
1:D81_04,80.716,100.466,96.410,5.892,1.024,37387440,372142,GOOD,9,,96.1um,,45,200,60,230,60,170,0.18,0.18,
1:,108.922,137.514,95.050,0.858,-7.486,50452460,366890,GOOD,,,61.5um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,105.374,127.903,98.863,0.738,-4.970,48809030,381611,GOOD,,,80.2um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,102.951,109.322,113.007,0.080,-3.905,47686980,436207,GOOD,,,63.9um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,108.711,126.199,103.371,0.522,-7.587,50354990,399013,GOOD,,,74.8um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,100.870,131.163,92.286,3.086,-3.485,29759270,226889,GOOD,,,36.4um,PART6,45,200,60,230,60,170,0.18,0.18,
1:,96.569,127.954,90.566,1.846,-4.776,28490330,222661,GOOD,,,56.2um,PART6,45,200,60,230,60,170,0.18,0.18,
1:C640_04,76.893,105.726,87.275,-1.247,0.586,44262390,418653,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C640_04,82.644,111.840,88.675,0.372,-0.012,47573050,425369,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:R900_04,77.295,97.699,94.939,-0.076,-0.230,358214900,3666521,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:R900_04,82.419,102.798,96.211,0.388,0.220,381961400,3715667,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:,106.675,131.175,97.587,0.807,-6.048,49411750,376686,GOOD,,,69.0um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,111.936,138.241,97.166,0.887,-6.420,51848620,375059,GOOD,,,78.8um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,88.928,118.982,89.689,-1.250,-1.238,51190330,430235,GOOD,,,0.0um,PART1,45,200,60,230,60,170,0.18,0.18,
1:,106.736,116.022,110.396,0.261,-8.014,49440180,426128,GOOD,,,67.1um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,104.675,121.215,103.626,0.411,-6.930,48485250,399994,GOOD,,,80.6um,PART0,45,200,60,230,60,170,0.18,0.18,
1:,88.699,109.365,97.324,0.959,-0.259,121764300,1113372,GOOD,,,0.0um,PART4,45,200,60,230,60,170,0.18,0.18,
1:,79.385,98.055,97.151,2.504,-0.827,108978200,1111396,GOOD,,,0.0um,PART4,45,200,60,230,60,170,0.18,0.18,
1:,94.492,115.546,98.134,0.798,-0.804,129716200,1122635,GOOD,,,0.0um,PART4,45,200,60,230,60,170,0.18,0.18,
1:,93.272,112.751,99.268,2.717,-0.162,128041300,1135611,GOOD,,,0.0um,PART4,45,200,60,230,60,170,0.18,0.18,
1:,98.839,129.543,91.558,1.957,-3.207,29159990,225098,GOOD,,,45.0um,PART6,45,200,60,230,60,170,0.18,0.18,
1:,98.486,124.497,94.929,1.291,-4.637,29055910,233386,GOOD,,,44.7um,PART6,45,200,60,230,60,170,0.18,0.18,
1:,89.692,115.904,92.862,0.037,-0.516,210613900,1817140,GOOD,,,0.0um,PART3,45,200,60,230,60,170,0.18,0.18,
1:H15_04,100.733,125.774,96.109,2.412,-1.598,61761000,491049,GOOD,K,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:H16_04,100.538,130.123,92.717,2.385,0.983,61641380,473717,GOOD,K,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:R634_04,95.568,107.057,107.123,-0.422,-0.066,48032660,448666,GOOD,1,,71.8um,,45,200,60,230,60,170,0.18,0.18,
1:R634_04,92.202,109.731,100.831,-0.143,0.655,46340540,422311,GOOD,2,,67.8um,,45,200,60,230,60,170,0.18,0.18,
1:C634_04,75.767,100.627,90.354,-0.713,-0.051,43614400,433426,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C634_04,75.502,100.581,90.079,-2.473,1.350,43461390,432104,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C602_04,86.214,118.025,87.657,-1.614,0.489,49627910,420486,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:,99.545,108.139,110.463,0.442,-2.885,46109000,426387,GOOD,,,48.6um,PART0,45,200,60,230,60,170,0.18,0.18,
