             BARCODE  INDEX     DATE     S.TIME    E.TIME   CYCLE             JOB        RESULT       USER          LOTINFO        MACHINE        
                MN635582 24566 11/10/2020   11:54:09  11:54:15      6   A5E41637164-04-BOT     FAIL           SV              KOHYOUNG
Component ID,Volume(%),Height(um),Area(%),OffsetX(%),OffsetY(%),Volume(um3),Area(um2),Result,PinNumber,Pad Verification,Shape,Library_Name,Vol_Min(%),Vol_Max(%),Height_Low(um),Height_High(um),Area_Min(%),Area_Max(%),OffsetX_Error(mm),OffsetY_Error(mm),
1:,105.857,125.153,101.498,-0.040,0.470,31230310,249537,GOOD,,,45.6um,PART2,45,190,60,230,60,170,0.18,0.18,
1:,107.827,129.040,100.273,1.115,-1.028,31811670,246525,GOOD,,,54.1um,PART2,45,190,60,230,60,170,0.18,0.18,
1:R615_04,96.240,119.758,96.435,2.822,-1.710,48370320,403902,GOOD,2,,87.3um,,45,190,60,230,60,170,0.18,0.18,
1:R615_04,93.961,119.823,94.100,3.179,-1.079,47224940,394124,GOOD,1,,47.9um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,92.399,153.023,72.459,-0.677,0.892,197434900,1290227,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,90.034,150.734,71.677,-0.525,0.119,192382600,1276303,GOOD,5,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,82.451,139.017,71.172,-0.037,-0.201,176179700,1267322,GOOD,21,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,88.164,145.871,72.527,-0.616,0.647,188385700,1291450,GOOD,7,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,81.052,138.917,70.015,-0.573,0.263,173190300,1246721,GOOD,9,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,80.947,169.412,57.338,-0.475,-0.121,172965000,1020976,E.AreaL,11,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,86.302,168.497,61.463,-0.396,0.409,184407800,1094431,GOOD,13,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,79.556,144.411,66.108,-0.304,0.028,169991700,1177139,GOOD,15,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,83.577,143.478,69.901,-0.276,0.559,178585300,1244688,GOOD,17,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,84.204,140.974,71.676,-0.164,0.179,179924100,1276295,GOOD,19,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,89.052,149.008,71.716,-0.788,0.505,190283900,1277007,GOOD,3,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C637_04,87.392,122.130,85.868,-0.069,0.281,50306170,411906,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C637_04,76.353,110.847,82.658,0.595,-0.324,43951710,396507,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,83.698,143.631,69.928,-1.144,0.425,209086500,1455720,GOOD,17,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,86.887,141.289,73.796,0.323,0.762,217053300,1536242,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,87.517,144.787,72.534,-0.558,0.367,218625900,1509987,GOOD,3,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,83.321,152.906,65.390,-0.567,0.513,208145100,1361260,GOOD,7,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,86.486,142.933,72.610,-0.429,-0.273,216050600,1511555,GOOD,11,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,84.607,143.121,70.939,-1.256,0.272,211355900,1476764,GOOD,13,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,81.995,140.899,69.833,-0.719,-0.029,204832300,1453757,GOOD,5,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,83.262,147.392,67.788,-0.605,0.120,207996500,1411181,GOOD,9,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,84.873,142.939,71.253,-0.343,-0.121,212021300,1483305,GOOD,15,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C901_04,88.067,116.948,90.365,0.337,-0.631,206882300,1769008,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:,115.154,129.387,106.800,0.360,0.501,33973240,262571,GOOD,,,51.0um,PART2,45,190,60,230,60,170,0.18,0.18,
1:,111.885,125.070,107.349,1.802,-0.991,33008760,263922,GOOD,,,51.6um,PART2,45,190,60,230,60,170,0.18,0.18,
1:C81_04,75.070,105.283,85.564,-0.734,-0.708,43212920,410447,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C81_04,75.678,103.704,87.570,-1.828,-0.101,43562920,420070,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C922_04,88.003,125.479,84.161,0.252,0.446,206733300,1647550,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C908_04,88.099,119.939,88.144,0.213,1.305,206957600,1725528,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:R1112_04,88.768,111.572,95.473,0.365,-0.920,44614870,399874,GOOD,1,,66.3um,,45,190,60,230,60,170,0.18,0.18,
1:R1112_04,84.035,108.724,92.750,-0.688,-2.190,42235720,388466,GOOD,2,,63.4um,,45,190,60,230,60,170,0.18,0.18,
1:C722_04,86.126,107.831,95.845,1.370,-0.005,127915400,1186257,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C722_04,85.347,110.104,93.018,1.467,1.049,126758000,1151263,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C616_04,82.669,116.150,85.409,4.228,-0.990,47587160,409705,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C616_04,77.669,114.763,81.213,2.711,-0.388,44709000,389577,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:,114.712,134.654,102.228,0.906,0.537,33842800,251332,GOOD,,,53.1um,PART2,45,190,60,230,60,170,0.18,0.18,
1:,106.228,124.145,102.681,1.775,-0.950,31339990,252446,GOOD,,,56.9um,PART2,45,190,60,230,60,170,0.18,0.18,
1:C1110_04,89.582,131.380,81.822,0.475,-0.964,51566530,392498,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:,115.588,132.390,104.770,0.881,0.575,34101270,257581,GOOD,,,60.4um,PART2,45,190,60,230,60,170,0.18,0.18,
1:,107.186,124.320,103.461,2.466,-0.906,31622400,254362,GOOD,,,61.8um,PART2,45,190,60,230,60,170,0.18,0.18,
1:C615_04,88.719,128.270,82.999,0.231,-1.789,51069560,398141,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C610_04,84.737,122.927,82.720,0.622,-2.237,48777570,396802,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:R601_04,107.752,127.657,101.289,1.315,-1.483,54156180,424232,GOOD,1,,50.8um,,45,190,60,230,60,170,0.18,0.18,
1:,105.022,126.267,99.810,2.956,0.735,30984220,245387,GOOD,,,47.9um,PART2,45,190,60,230,60,170,0.18,0.18,
1:,100.465,123.376,97.716,1.703,-0.709,29639700,240239,GOOD,,,64.4um,PART2,45,190,60,230,60,170,0.18,0.18,
1:R614_04,102.042,126.301,96.951,-1.331,-2.533,51286010,406064,GOOD,2,,72.2um,,45,190,60,230,60,170,0.18,0.18,
1:,80.234,117.505,81.938,-0.589,-0.597,46185540,393053,GOOD,,,0.0um,PART5,45,190,60,230,60,170,0.18,0.18,
1:C901_04,91.215,117.681,93.013,-0.143,-0.473,214277000,1820836,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:,102.617,122.342,100.653,3.542,0.867,30274680,247460,GOOD,,,44.9um,PART2,45,190,60,230,60,170,0.18,0.18,
1:,99.591,123.460,96.800,1.719,-0.572,29381730,237986,GOOD,,,60.6um,PART2,45,190,60,230,60,170,0.18,0.18,
1:X150_04,84.579,150.702,67.348,0.719,0.107,211286200,1402010,GOOD,8,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,84.359,141.950,71.314,0.063,-0.118,210736500,1484582,GOOD,14,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,95.189,149.314,76.501,0.198,0.046,237792200,1592568,GOOD,18,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,88.385,146.976,72.163,0.557,-0.441,220795400,1502258,GOOD,6,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,80.228,141.713,67.935,0.691,-0.281,200416600,1414246,GOOD,10,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,88.215,145.453,72.778,0.879,-0.668,220370500,1515063,GOOD,12,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,92.262,152.532,72.584,0.987,-0.505,230479300,1511023,GOOD,16,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,92.435,151.138,73.391,0.710,-0.051,230911900,1527827,GOOD,4,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X150_04,88.303,143.256,73.968,1.584,0.339,220589100,1539829,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C614_04,84.803,122.772,82.888,-1.205,1.471,48815360,397610,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:,81.607,116.161,84.305,-0.764,-1.617,46976100,404406,GOOD,,,0.0um,PART5,45,190,60,230,60,170,0.18,0.18,
1:,84.584,123.880,81.936,-0.807,-2.038,48689760,393041,GOOD,,,0.0um,PART5,45,190,60,230,60,170,0.18,0.18,
1:X161_04,90.974,151.089,72.255,-1.426,-0.293,194390900,1286599,GOOD,6,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,80.287,141.332,68.169,-0.746,-0.354,171555600,1213851,GOOD,16,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,92.036,151.956,72.682,-1.462,0.466,196660700,1294199,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,93.513,153.394,73.155,-1.390,0.241,199815800,1302634,GOOD,8,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,84.983,150.078,67.951,-1.119,-0.514,181588100,1209961,GOOD,12,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,82.775,140.869,70.512,-0.949,0.183,176870900,1255567,GOOD,18,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,88.088,145.815,72.493,-0.727,-0.567,188223800,1290844,GOOD,22,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,90.421,150.831,71.938,-1.572,0.086,193209400,1280963,GOOD,4,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,86.322,147.018,70.458,-1.338,-0.137,184449400,1254605,GOOD,10,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,84.833,153.882,66.155,-1.317,0.022,181268800,1177976,GOOD,14,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:X161_04,84.499,140.633,72.102,-0.868,-0.192,180555000,1283876,GOOD,20,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C908_04,78.142,108.455,86.460,-0.465,1.433,183567300,1692561,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:C922_04,74.576,108.569,82.429,-0.521,0.563,175190900,1613640,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:R613_04,104.763,134.665,93.354,0.296,-1.278,52653640,390996,GOOD,2,,75.9um,,45,190,60,230,60,170,0.18,0.18,
1:,102.202,131.641,93.164,0.082,-1.498,51366440,390201,GOOD,,,48.7um,PART3,45,190,60,230,60,170,0.18,0.18,
