VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
2,1/1/17 0:01,1/1/17 0:11,N,1,42,166,1,1.71,9,0,0.5,0,0,,0.3,9.8,2,1
2,1/1/17 0:03,1/1/17 0:09,N,1,75,74,1,1.44,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,1/1/17 0:04,1/1/17 0:12,N,1,82,70,5,3.45,12,0.5,0.5,2.66,0,,0.3,15.96,1,1
2,1/1/17 0:01,1/1/17 0:14,N,1,255,232,1,2.11,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
2,1/1/17 0:00,1/1/17 0:18,N,1,166,239,1,2.76,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
2,1/1/17 0:00,1/1/17 0:13,N,1,179,226,1,4.14,15,0.5,0.5,0,0,,0.3,16.3,1,1
2,1/1/17 0:02,1/1/17 0:26,N,1,74,167,1,4.22,19,0.5,0.5,0,0,,0.3,20.3,2,1
2,1/1/17 0:15,1/1/17 0:28,N,1,112,37,1,2.83,11,0.5,0.5,0,0,,0.3,12.3,2,1
2,1/1/17 0:06,1/1/17 0:11,N,1,36,37,1,0.78,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,1/1/17 0:14,1/1/17 0:28,N,1,127,174,5,3.49,13.5,0.5,0.5,0,0,,0.3,14.8,2,1
2,1/1/17 0:01,1/1/17 0:09,N,1,41,238,1,1.61,8.5,0.5,0.5,1.96,0,,0.3,11.76,1,1
2,1/1/17 0:31,1/1/17 0:52,N,1,97,228,1,5.63,21,0.5,0.5,1,0,,0.3,23.3,1,1
2,1/1/17 0:01,1/1/17 0:22,N,1,255,26,5,10.24,30,0.5,0.5,0,0,,0.3,31.3,2,1
2,1/1/17 0:00,1/1/17 0:09,N,1,70,173,1,0.97,7,0.5,0.5,0,0,,0.3,8.3,1,1
2,1/1/17 0:03,1/1/17 0:18,N,1,255,40,1,5.56,18.5,0.5,0.5,5.94,0,,0.3,25.74,1,1
2,1/1/17 0:03,1/1/17 0:03,N,1,82,260,1,1.75,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,1/1/17 0:00,1/1/17 0:00,N,5,36,36,1,0,3,0,0,0,0,,0,3,1,2
2,1/1/17 0:01,1/1/17 0:11,N,1,7,223,1,2,9,0.5,0.5,2.06,0,,0.3,12.36,1,1
2,1/1/17 0:26,1/1/17 0:38,N,1,256,106,1,5.48,17,0.5,0.5,3.29,0,,0.3,21.59,1,1
2,1/1/17 0:49,1/1/17 1:00,N,1,181,228,1,2,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
2,1/1/17 0:10,1/1/17 0:34,N,1,112,107,2,6.03,21.5,0.5,0.5,4.56,0,,0.3,27.36,1,1
2,1/1/17 0:02,1/1/17 0:14,N,1,129,56,2,2.41,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
2,1/1/17 0:01,1/1/17 0:34,N,1,112,152,1,9.49,30,0.5,0.5,7.82,0,,0.3,39.12,1,1
2,1/1/17 0:00,1/1/17 0:12,N,1,91,188,1,3.02,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
2,1/1/17 0:00,1/1/17 0:30,N,1,228,140,1,11.91,34,0.5,0.5,0,0,,0.3,35.3,1,1
2,1/1/17 0:04,1/1/17 0:12,N,1,126,159,1,1.98,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,1/1/17 0:02,1/1/17 0:16,N,1,97,181,1,2.2,11,0.5,0.5,2.46,0,,0.3,14.76,1,1
